unit,cycle,setting1,setting2,setting3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21
5,1,0.0024,-0.0004,100.0,518.67,642.43,1590.79,1402.02,14.62,21.61,553.50,2388.07,9051.54,1.30,47.37,522.20,2388.07,8130.90,8.4426,0.03,394,2388,100.00,39.04,23.3916
5,2,0.0011,0.0002,100.0,518.67,642.85,1581.46,1409.70,14.62,21.61,553.44,2388.06,9051.90,1.30,47.54,521.63,2388.11,8128.71,8.4429,0.03,393,2388,100.00,38.87,23.3181
5,3,0.0056,-0.0000,100.0,518.67,642.88,1586.05,1407.64,14.62,21.61,553.51,2388.06,9057.29,1.30,47.27,521.80,2388.11,8132.02,8.4657,0.03,393,2388,100.00,39.02,23.3529
5,4,-0.0010,0.0003,100.0,518.67,642.79,1585.93,1403.47,14.62,21.61,553.93,2388.15,9048.64,1.30,47.43,521.80,2388.09,8130.10,8.4147,0.03,392,2388,100.00,38.98,23.3574
5,5,0.0044,0.0002,100.0,518.67,642.66,1583.40,1407.29,14.62,21.61,553.83,2388.12,9053.72,1.30,47.48,521.94,2388.01,8132.74,8.4201,0.03,392,2388,100.00,38.96,23.3705
5,6,0.0018,0.0003,100.0,518.67,642.72,1581.43,1410.88,14.62,21.61,552.84,2388.05,9048.96,1.30,47.49,521.33,2388.07,8130.32,8.4301,0.03,392,2388,100.00,38.82,23.3270
5,7,0.0061,0.0004,100.0,518.67,642.44,1592.72,1406.89,14.62,21.61,553.39,2388.10,9048.84,1.30,47.50,521.30,2388.17,8133.31,8.4494,0.03,393,2388,100.00,38.95,23.3256
5,8,-0.0009,0.0002,100.0,518.67,643.14,1590.58,1403.19,14.62,21.61,553.86,2388.09,9058.21,1.30,47.48,521.46,2388.11,8131.46,8.4504,0.03,393,2388,100.00,38.85,23.2731
5,9,0.0024,-0.0002,100.0,518.67,642.50,1586.98,1409.36,14.62,21.61,553.83,2388.12,9053.72,1.30,47.41,521.29,2388.09,8139.72,8.4558,0.03,394,2388,100.00,38.91,23.2920
5,10,-0.0009,-0.0002,100.0,518.67,643.17,1595.37,1409.32,14.62,21.61,553.16,2388.11,9057.49,1.30,47.61,521.31,2388.11,8138.55,8.4885,0.03,392,2388,100.00,38.95,23.2847
5,11,0.0015,-0.0003,100.0,518.67,643.23,1583.73,1410.89,14.62,21.61,553.24,2388.08,9046.78,1.30,47.64,521.53,2388.10,8127.61,8.3709,0.03,393,2388,100.00,38.87,23.3555
5,12,0.0003,0.0004,100.0,518.67,642.25,1592.65,1407.60,14.62,21.61,553.16,2388.06,9052.91,1.30,47.27,521.61,2388.07,8130.29,8.4240,0.03,393,2388,100.00,38.95,23.4622
5,13,-0.0007,-0.0001,100.0,518.67,643.22,1586.89,1399.86,14.62,21.61,554.02,2388.10,9054.08,1.30,47.44,521.82,2388.10,8135.38,8.4294,0.03,392,2388,100.00,38.96,23.2477
5,14,-0.0007,-0.0005,100.0,518.67,643.13,1589.04,1410.28,14.62,21.61,553.25,2388.07,9046.39,1.30,47.38,521.58,2388.13,8134.11,8.4424,0.03,393,2388,100.00,38.73,23.3127
5,15,0.0027,0.0001,100.0,518.67,642.28,1591.40,1408.02,14.62,21.61,553.27,2388.13,9051.92,1.30,47.57,521.61,2388.07,8132.85,8.4301,0.03,392,2388,100.00,38.82,23.3055
5,16,0.0023,-0.0001,100.0,518.67,642.31,1585.55,1403.05,14.62,21.61,553.51,2388.05,9048.62,1.30,47.39,521.75,2388.06,8137.62,8.4232,0.03,392,2388,100.00,38.86,23.3291
5,17,-0.0005,0.0000,100.0,518.67,642.75,1592.26,1404.67,14.62,21.61,554.12,2388.04,9053.03,1.30,47.38,521.74,2388.06,8128.43,8.4262,0.03,393,2388,100.00,38.77,23.3405
5,18,-0.0005,0.0002,100.0,518.67,642.51,1587.00,1407.73,14.62,21.61,553.79,2388.09,9058.30,1.30,47.57,521.79,2388.06,8133.28,8.4128,0.03,394,2388,100.00,38.85,23.2293
5,19,-0.0011,0.0002,100.0,518.67,642.51,1583.57,1406.58,14.62,21.61,553.73,2388.12,9054.33,1.30,47.57,521.58,2388.05,8132.54,8.4401,0.03,394,2388,100.00,39.01,23.3721
5,20,0.0001,0.0002,100.0,518.67,642.30,1584.55,1407.78,14.62,21.61,553.31,2388.08,9059.02,1.30,47.47,521.74,2388.12,8132.59,8.4356,0.03,394,2388,100.00,38.82,23.3218
5,21,0.0003,0.0004,100.0,518.67,642.31,1587.95,1400.07,14.62,21.61,553.74,2388.11,9052.97,1.30,47.45,521.72,2388.10,8129.49,8.4239,0.03,391,2388,100.00,38.87,23.4223
5,22,-0.0002,0.0005,100.0,518.67,642.76,1589.88,1405.88,14.62,21.61,553.48,2388.10,9052.47,1.30,47.43,521.89,2388.11,8132.98,8.4145,0.03,393,2388,100.00,38.79,23.3199
5,23,0.0004,-0.0001,100.0,518.67,642.69,1588.12,1413.32,14.62,21.61,553.61,2388.09,9050.00,1.30,47.64,521.39,2388.05,8130.61,8.4518,0.03,393,2388,100.00,38.77,23.2580
5,24,-0.0038,-0.0002,100.0,518.67,641.98,1590.10,1408.43,14.62,21.61,553.34,2388.08,9052.17,1.30,47.29,521.38,2388.05,8136.78,8.4216,0.03,393,2388,100.00,38.90,23.2971
5,25,0.0038,0.0002,100.0,518.67,642.78,1586.13,1403.27,14.62,21.61,553.90,2388.07,9052.65,1.30,47.54,521.49,2388.03,8133.15,8.4255,0.03,392,2388,100.00,38.83,23.3108
5,26,-0.0020,0.0001,100.0,518.67,642.23,1592.16,1413.16,14.62,21.61,554.06,2388.09,9050.90,1.30,47.57,521.76,2388.07,8130.12,8.4169,0.03,393,2388,100.00,38.87,23.2842
5,27,-0.0007,-0.0002,100.0,518.67,642.76,1589.00,1403.47,14.62,21.61,552.67,2388.08,9047.16,1.30,47.46,522.10,2388.06,8136.43,8.4159,0.03,392,2388,100.00,38.90,23.3396
5,28,0.0002,-0.0000,100.0,518.67,643.35,1585.36,1410.46,14.62,21.61,553.38,2388.08,9043.36,1.30,47.51,521.45,2388.03,8134.90,8.4320,0.03,392,2388,100.00,38.85,23.1894
5,29,-0.0016,-0.0005,100.0,518.67,641.82,1591.30,1402.13,14.62,21.61,553.52,2388.13,9052.30,1.30,47.56,521.56,2388.14,8137.14,8.4471,0.03,392,2388,100.00,38.92,23.3196
5,30,-0.0006,-0.0004,100.0,518.67,642.89,1587.20,1408.61,14.62,21.61,554.38,2388.09,9048.85,1.30,47.54,521.45,2388.13,8131.09,8.4378,0.03,393,2388,100.00,38.83,23.3776
5,31,-0.0006,0.0004,100.0,518.67,642.28,1595.01,1408.24,14.62,21.61,553.88,2388.12,9050.22,1.30,47.29,521.79,2388.10,8135.95,8.4145,0.03,392,2388,100.00,38.81,23.3769
5,32,0.0042,0.0003,100.0,518.67,642.47,1593.09,1407.21,14.62,21.61,553.78,2388.06,9047.49,1.30,47.38,521.25,2388.07,8135.32,8.4236,0.03,392,2388,100.00,38.92,23.3328
5,33,0.0026,-0.0002,100.0,518.67,642.58,1598.76,1402.82,14.62,21.61,554.24,2388.05,9056.42,1.30,47.58,521.73,2388.14,8140.87,8.4315,0.03,392,2388,100.00,38.85,23.2665
5,34,-0.0010,-0.0004,100.0,518.67,642.71,1589.95,1408.65,14.62,21.61,553.65,2388.10,9054.23,1.30,47.41,521.94,2388.10,8131.06,8.3973,0.03,392,2388,100.00,38.75,23.3684
5,35,-0.0008,0.0000,100.0,518.67,643.20,1586.45,1406.95,14.62,21.61,553.84,2388.12,9048.20,1.30,47.47,521.48,2388.10,8136.05,8.4583,0.03,392,2388,100.00,38.85,23.2956
5,36,-0.0044,-0.0004,100.0,518.67,642.31,1586.78,1406.10,14.62,21.61,552.81,2388.13,9050.84,1.30,47.53,522.10,2388.13,8131.04,8.4109,0.03,394,2388,100.00,38.87,23.3829
5,37,0.0026,-0.0002,100.0,518.67,642.33,1588.21,1408.39,14.62,21.61,553.27,2388.14,9057.65,1.30,47.54,521.35,2388.10,8129.79,8.4637,0.03,393,2388,100.00,38.77,23.2326
5,38,0.0007,-0.0002,100.0,518.67,641.97,1592.87,1407.46,14.62,21.61,553.36,2388.09,9051.75,1.30,47.47,521.13,2388.06,8135.49,8.4354,0.03,395,2388,100.00,38.82,23.3676
5,39,-0.0005,-0.0003,100.0,518.67,642.51,1590.86,1408.87,14.62,21.61,553.82,2388.05,9048.05,1.30,47.33,521.22,2388.12,8133.59,8.4282,0.03,394,2388,100.00,38.77,23.2835
